word,freq,mean
شيأ,814,0.06783333333333333
حوس,776,0.06466666666666666
رود,719,0.05991666666666667
عرف,696,0.058
عمل,624,0.052
فعل,619,0.051583333333333335
أمر,606,0.0505
رجل,595,0.04958333333333333
سود,583,0.04858333333333333
حول,450,0.0375
خبر,410,0.034166666666666665
ذهب,388,0.03233333333333333
حدث,371,0.030916666666666665
نظر,369,0.03075
بدأ,369,0.03075
علم,359,0.029916666666666668
جود,346,0.028833333333333332
شرط,338,0.028166666666666666
يوم,329,0.027416666666666666
حقق,328,0.027333333333333334
سعد,324,0.027
عني,323,0.026916666666666665
قول,321,0.02675
مكن,319,0.026583333333333334
قلل,314,0.026166666666666668
دعا,307,0.025583333333333333
سور,301,0.025083333333333332
يمكن,299,0.024916666666666667
مرحب,298,0.024833333333333332
فضل,295,0.024583333333333332
سمع,294,0.0245
ربب,290,0.024166666666666666
شكر,280,0.023333333333333334
روي,279,0.02325
لدي,277,0.023083333333333334
صحح,269,0.022416666666666668
خرج,264,0.022
شخص,257,0.021416666666666667
جدي,251,0.020916666666666667
مول,249,0.02075
قوم,249,0.02075
ظ,246,0.0205
قدم,245,0.020416666666666666
نزل,244,0.02033333333333333
دخل,231,0.01925
لوس,231,0.01925
حصل,222,0.0185
فكر,221,0.018416666666666668
ذكر,216,0.018
قتل,216,0.018
عدا,214,0.017833333333333333
جبي,213,0.01775
كلم,211,0.017583333333333333
وضع,208,0.017333333333333333
عود,207,0.01725
صدق,205,0.017083333333333332
فقأ,204,0.017
عقد,204,0.017
طرق,204,0.017
سمي,201,0.01675
قضي,199,0.016583333333333332
طلق,193,0.016083333333333335
وجد,191,0.015916666666666666
حيا,191,0.015916666666666666
روع,189,0.01575
لذي,185,0.015416666666666667
شعر,183,0.01525
فهم,183,0.01525
كبر,182,0.015166666666666667
بني,178,0.014833333333333334
قبل,177,0.01475
بقي,176,0.014666666666666666
قرب,173,0.014416666666666666
نور,170,0.014166666666666666
لون,169,0.014083333333333333
كتب,168,0.014
طول,165,0.01375
سوك,165,0.01375
وقف,165,0.01375
ولس,165,0.01375
كثر,163,0.013583333333333333
حضر,162,0.0135
طبع,161,0.013416666666666667
ندا,160,0.013333333333333334
عنه,157,0.013083333333333334
جمع,156,0.013
طلب,156,0.013
حين,153,0.01275
أسف,153,0.01275
كني,153,0.01275
وقع,153,0.01275
بخر,152,0.012666666666666666
أخذ,151,0.012583333333333334
حوب,151,0.012583333333333334
رفق,150,0.0125
سرق,149,0.012416666666666666
حوج,148,0.012333333333333333
عطي,147,0.01225
أخر,146,0.012166666666666666
شكل,145,0.012083333333333333
مرأ,144,0.012
جلس,144,0.012
ويل,143,0.011916666666666667
ودي,142,0.011833333333333333
رحل,141,0.01175
دفع,140,0.011666666666666667
عرض,140,0.011666666666666667
رجأ,139,0.011583333333333333
نهي,138,0.0115
صور,138,0.0115
صلي,136,0.011333333333333334
أكد,135,0.01125
سبب,134,0.011166666666666667
جوي,133,0.011083333333333334
جعل,133,0.011083333333333334
ملك,132,0.011
يتم,132,0.011
رأي,131,0.010916666666666667
خور,131,0.010916666666666667
شبه,130,0.010833333333333334
سجن,127,0.010583333333333333
عول,126,0.0105
مور,124,0.010333333333333333
يود,124,0.010333333333333333
قدر,123,0.01025
فتأ,122,0.010166666666666666
وجه,122,0.010166666666666666
ليل,121,0.010083333333333333
وحد,120,0.01
توب,119,0.009916666666666667
ولي,119,0.009916666666666667
سيأ,119,0.009916666666666667
قطع,118,0.009833333333333333
زوج,118,0.009833333333333333
مهل,116,0.009666666666666667
لقي,116,0.009666666666666667
م,116,0.009666666666666667
جمل,115,0.009583333333333333
سول,113,0.009416666666666667
نسب,113,0.009416666666666667
جرم,112,0.009333333333333334
شرب,111,0.00925
كلب,111,0.00925
حسن,111,0.00925
روج,111,0.00925
قود,110,0.009166666666666667
ظهر,110,0.009166666666666667
أبن,109,0.009083333333333334
طوع,109,0.009083333333333334
كون,109,0.009083333333333334
حمل,108,0.009
علا,108,0.009
لهي,108,0.009
بوب,107,0.008916666666666666
موت,107,0.008916666666666666
سبق,107,0.008916666666666666
وقت,106,0.008833333333333334
بعد,105,0.00875
عبر,104,0.008666666666666666
جنب,104,0.008666666666666666
شرك,104,0.008666666666666666
شرع,104,0.008666666666666666
رين,104,0.008666666666666666
روس,103,0.008583333333333333
دور,103,0.008583333333333333
لغا,102,0.0085
زود,102,0.0085
ريي,100,0.008333333333333333
قصد,100,0.008333333333333333
عجب,100,0.008333333333333333
بحث,100,0.008333333333333333
وتر,99,0.00825
عيش,99,0.00825
جميع,99,0.00825
نفس,98,0.008166666666666666
درج,97,0.008083333333333333
خدم,97,0.008083333333333333
بيض,97,0.008083333333333333
خطا,96,0.008
نوس,95,0.007916666666666667
شهد,95,0.007916666666666667
سرع,95,0.007916666666666667
رسل,94,0.007833333333333333
علق,94,0.007833333333333333
فتح,94,0.007833333333333333
عوم,93,0.00775
صغر,93,0.00775
دوك,93,0.00775
عذر,92,0.007666666666666666
حدد,92,0.007666666666666666
طفل,92,0.007666666666666666
نقد,91,0.007583333333333333
جرد,91,0.007583333333333333
قسم,91,0.007583333333333333
صرف,90,0.0075
نسأ,89,0.007416666666666667
وثق,89,0.007416666666666667
حرك,88,0.007333333333333333
ردد,88,0.007333333333333333
سلح,87,0.00725
ت,87,0.00725
درأ,86,0.007166666666666667
نول,86,0.007166666666666667
حسب,85,0.007083333333333333
سوع,84,0.007
مرر,83,0.0069166666666666664
بيع,83,0.0069166666666666664
فقد,82,0.006833333333333334
خفي,82,0.006833333333333334
سرر,81,0.00675
غلق,81,0.00675
ضرب,80,0.006666666666666667
لحظ,80,0.006666666666666667
جحم,79,0.006583333333333333
سأل,79,0.006583333333333333
صوب,79,0.006583333333333333
وتي,79,0.006583333333333333
أرف,78,0.0065
سلم,77,0.006416666666666667
ي,77,0.006416666666666667
نوت,77,0.006416666666666667
جدد,76,0.006333333333333333
وبش,76,0.006333333333333333
ركب,76,0.006333333333333333
رقب,76,0.006333333333333333
ترك,76,0.006333333333333333
هدأ,76,0.006333333333333333
جني,75,0.00625
صلح,75,0.00625
شهر,75,0.00625
مدين,74,0.006166666666666667
نوع,74,0.006166666666666667
خذأ,74,0.006166666666666667
خصص,74,0.006166666666666667
بوس,74,0.006166666666666667
عين,73,0.006083333333333333
كفأ,73,0.006083333333333333
عزز,73,0.006083333333333333
وسع,72,0.006
لوح,72,0.006
غرب,72,0.006
حكم,72,0.006
فرض,72,0.006
نقل,71,0.005916666666666666
بي,71,0.005916666666666666
نوب,71,0.005916666666666666
وصل,71,0.005916666666666666
عدل,70,0.005833333333333334
عصب,70,0.005833333333333334
فرق,69,0.00575
سوا,69,0.00575
دوأ,69,0.00575
حمأ,69,0.00575
رقم,68,0.005666666666666667
خلف,67,0.005583333333333333
روح,67,0.005583333333333333
جلب,67,0.005583333333333333
عقل,67,0.005583333333333333
كلير,67,0.005583333333333333
قمأ,67,0.005583333333333333
ردأ,66,0.0055
درس,66,0.0055
خطب,66,0.0055
ستر,66,0.0055
ثور,66,0.0055
بلغ,65,0.005416666666666667
حلي,65,0.005416666666666667
ضبط,65,0.005416666666666667
جرأ,65,0.005416666666666667
جوس,65,0.005416666666666667
لعب,64,0.005333333333333333
ولف,64,0.005333333333333333
جول,64,0.005333333333333333
و,64,0.005333333333333333
حمق,64,0.005333333333333333
طعم,64,0.005333333333333333
مدي,64,0.005333333333333333
حظي,64,0.005333333333333333
كرى,64,0.005333333333333333
هتف,64,0.005333333333333333
تبع,64,0.005333333333333333
بلد,63,0.00525
نصف,63,0.00525
خدر,63,0.00525
سمح,62,0.005166666666666667
ملأ,62,0.005166666666666667
حدأ,62,0.005166666666666667
حلك,62,0.005166666666666667
رجع,62,0.005166666666666667
محق,61,0.005083333333333333
كشف,61,0.005083333333333333
كان,61,0.005083333333333333
سجل,61,0.005083333333333333
لا,61,0.005083333333333333
جهز,61,0.005083333333333333
شحن,61,0.005083333333333333
خطط,60,0.005
لبب,60,0.005
غبي,60,0.005
حفظ,59,0.004916666666666666
جور,59,0.004916666666666666
برا,59,0.004916666666666666
أتم,59,0.004916666666666666
أنس,59,0.004916666666666666
فرأ,59,0.004916666666666666
رغب,59,0.004916666666666666
قلق,59,0.004916666666666666
هول,59,0.004916666666666666
أجل,58,0.004833333333333334
أرض,58,0.004833333333333334
مون,58,0.004833333333333334
كمل,58,0.004833333333333334
لحق,58,0.004833333333333334
غرف,58,0.004833333333333334
جهي,57,0.00475
خوص,57,0.00475
أمن,56,0.004666666666666667
صبح,56,0.004666666666666667
سبع,56,0.004666666666666667
ثني,56,0.004666666666666667
بول,56,0.004666666666666667
هتم,56,0.004666666666666667
طور,56,0.004666666666666667
دقق,56,0.004666666666666667
اولدمان,56,0.004666666666666667
فرن,56,0.004666666666666667
وغد,55,0.004583333333333333
دون,55,0.004583333333333333
صوح,55,0.004583333333333333
ألم,55,0.004583333333333333
عقب,55,0.004583333333333333
وظف,54,0.0045
فتر,54,0.0045
منع,53,0.004416666666666667
قعد,53,0.004416666666666667
جنن,53,0.004416666666666667
سدس,53,0.004416666666666667
عون,53,0.004416666666666667
وحي,53,0.004416666666666667
هرب,53,0.004416666666666667
خطر,52,0.004333333333333333
مضي,52,0.004333333333333333
صحب,51,0.00425
صول,51,0.00425
منا,51,0.00425
شغل,51,0.00425
بلي,51,0.00425
هوي,51,0.00425
بطل,51,0.00425
معي,50,0.004166666666666667
فيلم,50,0.004166666666666667
نفذ,49,0.004083333333333333
ومأ,49,0.004083333333333333
شكي,49,0.004083333333333333
خوف,49,0.004083333333333333
كرس,49,0.004083333333333333
عمم,48,0.004
عظم,48,0.004
همم,48,0.004
فرد,48,0.004
سرح,48,0.004
فرانسيس,48,0.004
حرس,47,0.003916666666666666
حفل,47,0.003916666666666666
نظم,47,0.003916666666666666
صنع,47,0.003916666666666666
كره,47,0.003916666666666666
غور,47,0.003916666666666666
شرف,47,0.003916666666666666
حبب,47,0.003916666666666666
خول,46,0.003833333333333333
وخي,46,0.003833333333333333
ميز,46,0.003833333333333333
سقط,46,0.003833333333333333
بسط,46,0.003833333333333333
سفه,46,0.003833333333333333
لوم,46,0.003833333333333333
بدن,46,0.003833333333333333
رسم,46,0.003833333333333333
زور,46,0.003833333333333333
هرأ,46,0.003833333333333333
تلا,45,0.00375
صلت,45,0.00375
سعي,45,0.00375
لوك,45,0.00375
سمك,44,0.0036666666666666666
قرر,44,0.0036666666666666666
أرك,44,0.0036666666666666666
قصص,44,0.0036666666666666666
رفع,44,0.0036666666666666666
كوس,43,0.0035833333333333333
